,분류,name_x,추천일,목표일,매수저점,매수고점,목표가,손절가,cate,ticker,ismarket,startdate,name_y,finishdate,시작일_날짜,시작일_BPS,시작일_PER,시작일_PBR,시작일_EPS,시작일_DIV,시작일_DPS,시작일_ticker,시작일_index,종료일_날짜,종료일_BPS,종료일_PER,종료일_PBR,종료일_EPS,종료일_DIV,종료일_DPS,종료일_ticker
0,목표,인포뱅크,2020-11-27,2021-03-22,7070,7830,8860,6490,KOSDAQ,039290,1,2020-11-27,인포뱅크,2020-12-22,2020-11-27,6029.0,78.59,1.29,99.0,0.13,10.0,039290,,2020-12-22,6029.0,98.79,1.62,99.0,0.1,10.0,039290
1,목표,삼진,2020-11-27,2021-03-22,9020,10000,11300,8280,KOSDAQ,032750,1,2020-11-27,삼진,2020-12-24,2020-11-27,12767.0,5.0,0.79,2019.0,1.98,200.0,032750,,2020-12-24,12767.0,5.45,0.86,2019.0,1.82,200.0,032750
2,목표,삼진,2021-05-28,2021-09-17,10800,11950,13650,9900,KOSDAQ,032750,1,2021-05-28,삼진,,2021-05-28,13587.0,10.75,0.87,1102.0,1.69,200.0,032750,,,,,,,,,
3,목표,진양산업,2020-11-29,2021-03-23,4195,4650,5260,3850,KOSPI,003780,1,2020-11-29,진양산업,2021-01-05,,,,,,,,,,2021-01-05,3159.0,9.64,1.6,525.0,3.95,200.0,003780
4,목표,진양산업,2021-03-05,2021-06-28,3830,4245,4800,3515,KOSPI,003780,1,2021-03-05,진양산업,2021-03-09,2021-03-05,3159.0,8.35,1.39,525.0,4.56,200.0,003780,,2021-03-09,3159.0,8.72,1.45,525.0,4.37,200.0,003780
5,목표,진양산업,2021-06-03,2021-10-11,5270,5840,6660,4835,KOSPI,003780,1,2021-06-03,진양산업,2021-07-28,2021-06-03,3341.0,14.84,1.75,395.0,3.07,180.0,003780,,2021-07-28,3341.0,16.23,1.92,395.0,2.81,180.0,003780
6,목표,아세아텍,2020-12-18,2021-04-16,2880,3190,3610,2645,KOSDAQ,050860,1,2020-12-18,아세아텍,2021-06-03,2020-12-18,5637.0,52.5,0.56,60.0,1.59,50.0,050860,,2021-06-03,5637.0,71.17,0.76,60.0,1.17,50.0,050860
7,목표,아세아텍,2021-01-22,2021-05-20,3110,3445,3900,2855,KOSDAQ,050860,1,2021-01-22,아세아텍,,2021-01-22,5637.0,57.5,0.61,60.0,1.45,50.0,050860,,,,,,,,,
8,목표,티플랙스,2020-12-11,2021-04-12,2865,3175,3590,2630,KOSDAQ,081150,1,2020-12-11,티플랙스,2021-01-21,2020-12-11,4040.0,34.56,0.78,91.0,0.64,20.0,081150,,2021-01-21,4040.0,38.79,0.87,91.0,0.57,20.0,081150
9,목표,포메탈,2020-12-22,2021-04-20,3765,4175,4720,3455,KOSDAQ,119500,1,2020-12-22,포메탈,2021-01-07,2020-12-22,3776.0,22.42,1.1,186.0,1.44,60.0,119500,,2021-01-07,3776.0,25.08,1.24,186.0,1.29,60.0,119500
10,목표,포메탈,2021-01-29,2021-05-27,4005,4440,5020,3675,KOSDAQ,119500,1,2021-01-29,포메탈,2021-03-25,2021-01-29,3776.0,23.71,1.17,186.0,1.36,60.0,119500,,2021-03-25,3776.0,23.49,1.16,186.0,1.37,60.0,119500
11,목표,포메탈,2021-05-21,2021-09-09,4470,4955,5650,4100,KOSDAQ,119500,1,2021-05-21,포메탈,2021-06-23,2021-05-21,3863.0,33.46,1.29,149.0,1.2,60.0,119500,,2021-06-23,3863.0,37.92,1.46,149.0,1.06,60.0,119500
12,목표,포메탈,2021-07-09,2021-11-03,4560,5060,5770,4185,KOSDAQ,119500,1,2021-07-09,포메탈,,2021-07-09,3863.0,33.62,1.3,149.0,1.2,60.0,119500,,,,,,,,,
13,목표,서암기계공업,2020-12-25,2021-04-23,4955,5490,6210,4545,KOSDAQ,100660,1,2020-12-25,서암기계공업,2021-01-05,,,,,,,,,,2021-01-05,4891.0,38.84,1.37,173.0,0.74,50.0,100660
14,목표,휴네시온,2021-01-01,2021-04-28,5070,5620,6360,4655,KOSDAQ,290270,1,2021-01-01,휴네시온,2021-02-23,,,,,,,,,,2021-02-23,2478.0,33.85,2.55,187.0,0.55,35.0,290270
15,목표,휴네시온,2021-04-16,2021-08-09,5890,6530,7450,5410,KOSDAQ,290270,1,2021-04-16,휴네시온,2021-07-05,2021-04-16,2478.0,35.61,2.69,187.0,0.53,35.0,290270,,2021-07-05,2763.0,21.81,2.79,353.0,0.52,40.0,290270
16,목표,네오크레마,2021-01-01,2021-04-28,7790,8630,9760,7150,KOSDAQ,311390,1,2021-01-01,네오크레마,2021-06-08,,,,,,,,,,2021-06-08,5422.0,50.89,1.8,192.0,0.0,0.0,311390
17,목표,동국알앤에스,2021-01-01,2021-04-28,2975,3295,3730,2730,KOSDAQ,075970,1,2021-01-01,동국알앤에스,2021-01-08,,,,,,,,,,2021-01-08,4066.0,25.36,0.87,140.0,2.25,80.0,075970
18,목표,동국알앤에스,2021-01-28,2021-05-26,2985,3310,3745,2740,KOSDAQ,075970,1,2021-01-28,동국알앤에스,2021-03-08,2021-01-28,4066.0,23.64,0.81,140.0,2.42,80.0,075970,,2021-03-08,4066.0,28.82,0.99,140.0,1.98,80.0,075970
19,목표,에스피시스템스,2021-01-08,2021-05-04,5830,6460,7310,5350,KOSDAQ,317830,1,2021-01-08,에스피시스템스,2021-01-25,2021-01-08,3737.0,30.99,1.76,212.0,0.3,20.0,317830,,2021-01-25,3737.0,39.72,2.25,212.0,0.24,20.0,317830
20,목표,에스피시스템스,2021-02-08,2021-06-04,6510,7220,8160,5980,KOSDAQ,317830,1,2021-02-08,에스피시스템스,2021-02-18,2021-02-08,3737.0,34.48,1.96,212.0,0.27,20.0,317830,,2021-02-18,3737.0,36.08,2.05,212.0,0.26,20.0,317830
21,목표,에스피시스템스,2021-02-19,2021-06-15,6580,7290,8250,6040,KOSDAQ,317830,1,2021-02-19,에스피시스템스,2021-07-02,2021-02-19,3737.0,34.95,1.98,212.0,0.27,20.0,317830,,2021-07-02,3769.0,201.25,2.14,40.0,0.0,0.0,317830
22,목표,오하임아이엔티,2021-01-08,2021-05-04,2225,2460,2785,2040,KOSDAQ,309930,1,2021-01-08,오하임아이엔티,2021-02-03,2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,309930,,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,309930
23,목표,오하임아이엔티,2021-02-19,2021-06-15,2750,3050,3450,2525,KOSDAQ,309930,1,2021-02-19,오하임아이엔티,2021-02-24,2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,309930,,2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,309930
24,목표,오하임아이엔티,2021-03-10,2021-07-01,2730,3030,3425,2510,KOSDAQ,309930,1,2021-03-10,오하임아이엔티,2021-03-17,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,309930,,2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,309930
25,목표,흥국,2021-01-08,2021-05-06,5380,5960,6740,4935,KOSDAQ,010240,1,2021-01-08,흥국,2021-01-12,2021-01-08,5477.0,10.4,1.08,568.0,2.54,150.0,010240,,2021-01-12,5477.0,12.11,1.26,568.0,2.18,150.0,010240
26,목표,진양폴리,2021-01-11,2021-05-06,3290,3645,4125,3020,KOSPI,010640,1,2021-01-11,진양폴리,2021-03-23,2021-01-11,2658.0,4.83,1.37,755.0,2.74,100.0,010640,,2021-03-23,2658.0,5.64,1.6,755.0,2.35,100.0,010640
27,목표,진양폴리,2021-06-04,2021-10-13,3540,3920,4475,3250,KOSPI,010640,1,2021-06-04,진양폴리,,2021-06-04,2691.0,24.13,1.44,161.0,3.22,125.0,010640,,,,,,,,,
28,목표,로지시스,2021-01-15,2021-05-13,4295,4760,5380,3940,KOSDAQ,067730,1,2021-01-15,로지시스,2021-01-26,2021-01-15,1676.0,0.0,2.81,0.0,1.27,60.0,067730,,2021-01-26,1676.0,0.0,3.16,0.0,1.13,60.0,067730
29,목표,삼일기업공사,2021-02-08,2021-06-04,3940,4365,4940,3615,KOSDAQ,002290,1,2021-02-08,삼일기업공사,2021-03-03,2021-02-08,4744.0,16.34,0.91,265.0,2.31,100.0,002290,,2021-03-03,4744.0,18.49,1.03,265.0,2.04,100.0,002290
30,목표,삼일기업공사,2021-03-12,2021-07-05,4210,4670,5280,3865,KOSDAQ,002290,1,2021-03-12,삼일기업공사,2021-04-02,2021-03-12,4744.0,17.55,0.98,265.0,2.15,100.0,002290,,2021-04-02,4744.0,19.55,1.09,265.0,1.93,100.0,002290
31,목표,삼일기업공사,2021-05-13,2021-09-02,4815,5340,6090,4420,KOSDAQ,002290,1,2021-05-13,삼일기업공사,2021-05-31,2021-05-13,4838.0,28.05,1.13,195.0,1.83,100.0,002290,,2021-05-31,4838.0,35.59,1.43,195.0,1.44,100.0,002290
32,목표,호텔신라우,2021-02-26,2021-07-06,74500,82600,94200,68400,KOSPI,008775,1,2021-02-26,호텔신라우,2021-04-26,2021-02-26,0.0,0.0,0.0,0.0,0.48,400.0,008775,,2021-04-26,0.0,0.0,0.0,0.0,0.33,400.0,008775
33,목표,호텔신라우,2021-06-25,2021-10-19,83000,92100,105000,76200,KOSPI,008775,1,2021-06-25,호텔신라우,,2021-06-25,0.0,0.0,0.0,0.0,0.27,250.0,008775,,,,,,,,,
34,목표,피제이메탈,2021-02-26,2021-06-23,2200,2435,2755,2020,KOSDAQ,128660,1,2021-02-26,피제이메탈,2021-03-12,2021-02-26,1634.0,28.41,1.48,85.0,4.14,100.0,128660,,2021-03-12,1634.0,30.65,1.59,85.0,3.84,100.0,128660
35,목표,원풍,2021-03-05,2021-06-28,4095,4545,5140,3760,KOSDAQ,008370,1,2021-03-05,원풍,2021-03-08,2021-03-05,6125.0,26.65,0.75,173.0,3.25,150.0,008370,,2021-03-08,6125.0,27.75,0.78,173.0,3.13,150.0,008370
36,목표,프럼파스트,2021-03-12,2021-07-05,4195,4650,5260,3850,KOSDAQ,035200,1,2021-03-12,프럼파스트,2021-04-08,2021-03-12,3618.0,38.27,1.31,124.0,0.0,0.0,035200,,2021-04-08,3618.0,43.23,1.48,124.0,0.0,0.0,035200
37,목표,DSR,2021-03-18,2021-07-12,4870,5400,6110,4470,KOSPI,155660,1,2021-03-18,DSR,2021-04-08,2021-03-18,9613.0,9.8,0.56,546.0,0.93,50.0,155660,,2021-04-08,9613.0,11.26,0.64,546.0,0.81,50.0,155660
38,목표,DSR,2021-05-20,2021-09-08,6210,6880,7780,5700,KOSPI,155660,1,2021-05-20,DSR,2021-06-23,2021-05-20,10087.0,12.29,0.68,558.0,0.73,50.0,155660,,2021-06-23,10087.0,13.12,0.73,558.0,0.68,50.0,155660
39,목표,DSR,2021-07-09,2021-11-02,5960,6600,7530,5470,KOSPI,155660,1,2021-07-09,DSR,,2021-07-09,10087.0,11.97,0.66,558.0,0.75,50.0,155660,,,,,,,,,
40,목표,한일네트웍스,2021-03-19,2021-07-12,5260,5820,6590,4820,KOSDAQ,046110,1,2021-03-19,한일네트웍스,2021-06-04,2021-03-19,5635.0,10.03,1.05,589.0,3.89,230.0,046110,,2021-06-04,6408.0,11.16,1.11,636.0,3.38,240.0,046110
41,목표,대성미생물,2021-03-19,2021-07-12,16500,18250,20850,15150,KOSDAQ,036480,1,2021-03-19,대성미생물,2021-04-09,2021-03-19,9235.0,24.53,1.99,750.0,0.46,85.0,036480,,2021-04-09,9235.0,27.93,2.27,750.0,0.41,85.0,036480
42,목표,안랩,2021-04-07,2021-07-29,65700,72800,83100,60300,KOSDAQ,053800,1,2021-04-07,안랩,,2021-04-07,20539.0,34.03,3.65,2204.0,1.2,900.0,053800,,,,,,,,,
43,목표,DSR제강,2021-04-23,2021-08-16,5410,5990,6840,4960,KOSPI,069730,1,2021-04-23,DSR제강,2021-05-11,2021-04-23,9851.0,13.33,0.63,469.0,0.64,40.0,069730,,2021-05-11,10157.0,19.37,0.7,367.0,0.56,40.0,069730
44,목표,DSR제강,2021-05-28,2021-09-17,5570,6180,7050,5120,KOSPI,069730,1,2021-05-28,DSR제강,2021-06-23,2021-05-28,10157.0,16.68,0.6,367.0,0.65,40.0,069730,,2021-06-23,10157.0,19.43,0.7,367.0,0.56,40.0,069730
45,목표,DSR제강,2021-07-23,2021-11-17,5740,6360,7260,5270,KOSPI,069730,1,2021-07-23,DSR제강,,2021-07-23,10157.0,17.17,0.62,367.0,0.63,40.0,069730,,,,,,,,,
46,목표,이퓨쳐,2021-04-23,2021-08-16,9830,10900,12400,9020,KOSDAQ,134060,1,2021-04-23,이퓨쳐,2021-06-29,2021-04-23,3856.0,29.92,2.96,381.0,0.0,0.0,134060,,2021-06-29,3812.0,92.62,2.96,122.0,0.0,0.0,134060
47,목표,싸이버원,2021-04-29,2021-08-20,15200,16850,19200,13950,KOSDAQ,356890,1,2021-04-29,싸이버원,,2021-04-29,2703.0,28.4,6.18,588.0,0.0,0.0,356890,,,,,,,,,
48,목표,풍강,2021-05-03,2021-08-24,3910,4335,4945,3590,KOSDAQ,093380,1,2021-05-03,풍강,2021-05-10,2021-05-03,6155.0,271.56,0.71,16.0,0.69,30.0,093380,,2021-05-10,6155.0,335.0,0.87,16.0,0.56,30.0,093380
49,목표,풍강,2021-05-27,2021-09-15,4395,4870,5550,4035,KOSDAQ,093380,1,2021-05-27,풍강,,2021-05-27,6155.0,309.69,0.81,16.0,0.61,30.0,093380,,,,,,,,,
50,목표,고려산업,2021-05-07,2021-08-27,4225,4685,5340,3880,KOSPI,002140,1,2021-05-07,고려산업,,2021-05-07,4108.0,16.96,1.15,278.0,0.74,35.0,002140,,,,,,,,,
51,목표,성우테크론,2021-05-12,2021-09-01,5130,5680,6480,4705,KOSDAQ,045300,1,2021-05-12,성우테크론,2021-06-22,2021-05-12,5591.0,13.99,1.04,414.0,0.69,40.0,045300,,2021-06-22,5591.0,16.18,1.2,414.0,0.6,40.0,045300
52,목표,성우테크론,2021-06-25,2021-10-19,5940,6580,7510,5450,KOSDAQ,045300,1,2021-06-25,성우테크론,2021-07-15,2021-06-25,5591.0,15.8,1.17,414.0,0.61,40.0,045300,,2021-07-15,5591.0,20.07,1.49,414.0,0.48,40.0,045300
53,목표,포시에스,2021-05-14,2021-09-06,6880,7630,8700,6320,KOSDAQ,189690,1,2021-05-14,포시에스,2021-06-03,2021-05-14,6906.0,11.27,1.09,671.0,1.32,100.0,189690,,2021-06-03,6906.0,13.65,1.33,671.0,1.09,100.0,189690
54,목표,케이엠,2021-06-06,2021-10-13,9610,10650,12150,8820,KOSDAQ,083550,1,2021-06-06,케이엠,,,,,,,,,,,,,,,,,,
55,목표,세화피앤씨,2021-06-11,2021-10-05,3795,4210,4800,3485,KOSDAQ,252500,1,2021-06-11,세화피앤씨,,2021-06-11,1449.0,19.95,2.93,213.0,0.71,30.0,252500,,,,,,,,,
56,목표,제룡산업,2021-06-18,2021-10-12,8140,9020,10250,7470,KOSDAQ,147830,1,2021-06-18,제룡산업,,2021-06-18,6154.0,16.06,1.49,569.0,1.64,150.0,147830,,,,,,,,,
57,목표,유니온커뮤니티,2021-07-02,2021-10-27,4525,5010,5720,4150,KOSDAQ,203450,1,2021-07-02,유니온커뮤니티,,2021-07-02,2427.0,30.49,2.05,163.0,1.41,70.0,203450,,,,,,,,,
58,목표,삼영에스앤씨,2021-07-16,2021-11-09,12750,14100,16100,11700,KOSDAQ,361670,1,2021-07-16,삼영에스앤씨,2021-07-19,2021-07-16,3269.0,39.55,4.34,359.0,0.0,0.0,361670,,2021-07-19,3269.0,42.48,4.67,359.0,0.0,0.0,361670
59,목표,삼영에스앤씨,2021-07-23,2021-11-17,14050,15550,17750,12900,KOSDAQ,361670,1,2021-07-23,삼영에스앤씨,2021-07-28,2021-07-23,3269.0,42.9,4.71,359.0,0.0,0.0,361670,,2021-07-28,3269.0,49.58,5.45,359.0,0.0,0.0,361670
